Url,Type,Title,Publisher Place,Publisher,Date,Authors,Volume,Language,Pages
https://www.biodiversitylibrary.org/page/52853960,Serial,Animal keepers' forum.  ,"Topeka, Kan. :",American Association of Zoo Keepers.,2012,American Association of Zoo Keepers       ,v.39:no.5 (2012),English,Page 229
https://www.biodiversitylibrary.org/page/55420310,Serial,Annales de la SocieÌÅteÌÅ botanique de Lyon.  ,Lyon :,"Henri Georg,",1891,SocieÌÅteÌÅ botanique de Lyon.       ,Annee 18 (1891-92),French,Page 63
https://www.biodiversitylibrary.org/page/55420313,Serial,Annales de la SocieÌÅteÌÅ botanique de Lyon.  ,Lyon :,"Henri Georg,",1891,SocieÌÅteÌÅ botanique de Lyon.       ,Annee 18 (1891-92),French,Page 66
https://www.biodiversitylibrary.org/page/55420424,Serial,Annales de la SocieÌÅteÌÅ botanique de Lyon.  ,Lyon :,"Henri Georg,",1891,SocieÌÅteÌÅ botanique de Lyon.       ,Annee 18 (1891-92),French,Page 177
https://www.biodiversitylibrary.org/page/55420425,Serial,Annales de la SocieÌÅteÌÅ botanique de Lyon.  ,Lyon :,"Henri Georg,",1891,SocieÌÅteÌÅ botanique de Lyon.       ,Annee 18 (1891-92),French,Page 178
https://www.biodiversitylibrary.org/page/55417992,Serial,Annales de la SocieÌÅteÌÅ botanique de Lyon.  ,Lyon :,"Henri Georg,",1898,SocieÌÅteÌÅ botanique de Lyon.       ,Tome 23 (1898),French,Page 18
https://www.biodiversitylibrary.org/page/36634305,Serial,Annuaire du Conservatoire et du jardin botaniques de GenÃ¨ve.  ,"GenÃ¨ve,",Conservatoire botanique.,1908-1911,Conservatoire et jardin botaniques de la ville de GenÃ¨ve       ,v. 11-14 (1908-1911),French,Page 236
https://www.biodiversitylibrary.org/page/36634321,Serial,Annuaire du Conservatoire et du jardin botaniques de GenÃ¨ve.  ,"GenÃ¨ve,",Conservatoire botanique.,1908-1911,Conservatoire et jardin botaniques de la ville de GenÃ¨ve       ,v. 11-14 (1908-1911),French,Page 252
https://www.biodiversitylibrary.org/page/36634803,Serial,Annuaire du Conservatoire et du jardin botaniques de GenÃ¨ve.  ,"GenÃ¨ve,",Conservatoire botanique.,1908-1911,Conservatoire et jardin botaniques de la ville de GenÃ¨ve       ,v. 11-14 (1908-1911),French,Page 458
https://www.biodiversitylibrary.org/page/42045354,Serial,"Annual report on essential oils, synthetic perfumes, &c.   ",Miltitz bei Leipzig :,"Schimmel & Co.,",1921-1922,Schimmel & Co.       ,1921-1922,English,Page 27
https://www.biodiversitylibrary.org/page/57941506,Serial,Annual technical report of the National Plant Materials Center.  ,"Beltsville, Md. :","Soil Conservation Service, U.S. Dept. of Agriculture,",1980,National Plant Materials Center (U.S.)       ,1980,English,Page 26
https://www.biodiversitylibrary.org/page/29308025,Serial,Archiv der Pharmazie.    ,Berlin :,"Deutscher Apotheker-Verein,",1835-1923,Deutscher Apotheker-Verein.       ,Bd.222 1884,German,
